,,return,return,return,return,return,PX_LAST,PX_LAST
,,count,mean,std,min,max,first,last
asset_type,ticker,,,,,,,
Crypto,BTCUSD,2051,0.001782,0.039632,-0.271875,0.250035,13624.57,104017.98
Equity,AAPL,1760,0.001186,0.019247,-0.128647,0.119808,43.065,250.42
Equity,GOOGL,1760,0.000905,0.019393,-0.116334,0.102244,53.661,189.3
Equity,MSFT,1760,0.00107,0.018207,-0.14739,0.142169,85.95,421.5
Equity,NVDA,1760,0.002399,0.032465,-0.187541,0.243696,4.9838,134.29
Equity,SPY,1760,0.000519,0.012305,-0.109424,0.090603,268.77,586.08
Risk Gauge,MOVE,1754,0.001648,0.050019,-0.25835,0.450641,46.5962,98.8
Risk Gauge,USGG10YR,1826,0.000931,0.034539,-0.290699,0.501532,2.4054,4.569
Risk Gauge,VIX,1779,0.003739,0.087821,-0.281566,1.155979,9.77,17.35
