date,timestamp,coin_id,symbol,price,volume,market_cap,asset_class
2024-11-10,2024-11-10 00:00:00,cardano,ADA,0.4873424195485118,897587308.9383248,17405034989.691643,cryptocurrency
2024-11-11,2024-11-11 00:00:00,cardano,ADA,0.588734921251616,6527580317.057181,21024854839.87751,cryptocurrency
2024-11-12,2024-11-12 00:00:00,cardano,ADA,0.6145826096845928,3280194971.0969224,21992679939.444138,cryptocurrency
2024-11-13,2024-11-13 00:00:00,cardano,ADA,0.5761116796720354,3181386248.1459627,20611561493.029778,cryptocurrency
2024-11-14,2024-11-14 00:00:00,cardano,ADA,0.5789579396018733,2644830608.2299004,20707050864.589024,cryptocurrency
2024-11-15,2024-11-15 00:00:00,cardano,ADA,0.5802320574359904,1729922211.7017794,20620858872.466827,cryptocurrency
2024-11-16,2024-11-16 00:00:00,cardano,ADA,0.6970201474228283,4090910068.046969,24860880015.725594,cryptocurrency
2024-11-17,2024-11-17 00:00:00,cardano,ADA,0.7369580120453421,6267538737.650395,26346062209.769974,cryptocurrency
2024-11-18,2024-11-18 00:00:00,cardano,ADA,0.7021515183224912,2501615517.051095,25133152050.988632,cryptocurrency
2024-11-19,2024-11-19 00:00:00,cardano,ADA,0.7363518168371328,2548582801.654668,26342845055.7922,cryptocurrency
2024-11-20,2024-11-20 00:00:00,cardano,ADA,0.7389024704178786,1635269471.5485222,26431575432.630917,cryptocurrency
2024-11-21,2024-11-21 00:00:00,cardano,ADA,0.803001084841874,4230382202.154202,28772128081.481377,cryptocurrency
2024-11-22,2024-11-22 00:00:00,cardano,ADA,0.8181660122757234,2791303410.437808,29263235932.69351,cryptocurrency
2024-11-23,2024-11-23 00:00:00,cardano,ADA,1.0044164266560962,6892507799.22072,35938316596.75111,cryptocurrency
2024-11-24,2024-11-24 00:00:00,cardano,ADA,1.0632099880614343,7258065363.156293,37995867804.11106,cryptocurrency
2024-11-25,2024-11-25 00:00:00,cardano,ADA,1.0259059332257112,4065963806.818005,36730492655.154526,cryptocurrency
2024-11-26,2024-11-26 00:00:00,cardano,ADA,0.9463027550485847,3673630635.8309784,33855152913.243694,cryptocurrency
2024-11-27,2024-11-27 00:00:00,cardano,ADA,0.9587323562869567,2825247053.1150365,34323258762.167927,cryptocurrency
2024-11-28,2024-11-28 00:00:00,cardano,ADA,1.013312717708717,2963844108.950685,36252927449.637505,cryptocurrency
2024-11-29,2024-11-29 00:00:00,cardano,ADA,1.032402701868787,1748421855.8847175,36943407363.53188,cryptocurrency
2024-11-30,2024-11-30 00:00:00,cardano,ADA,1.0795804194768817,2546200789.234483,38639286783.73906,cryptocurrency
2024-12-01,2024-12-01 00:00:00,cardano,ADA,1.079440192925627,2235486757.4695177,38662755540.67341,cryptocurrency
2024-12-02,2024-12-02 00:00:00,cardano,ADA,1.147892256369758,2617149103.843603,41005304249.43712,cryptocurrency
2024-12-03,2024-12-03 00:00:00,cardano,ADA,1.1995479309146082,5868579244.534972,42929048816.169815,cryptocurrency
2024-12-04,2024-12-04 00:00:00,cardano,ADA,1.201004029612371,5490023453.359384,42969786460.67669,cryptocurrency
2024-12-05,2024-12-05 00:00:00,cardano,ADA,1.1842450413974923,3185937360.6157274,42349997240.399826,cryptocurrency
2024-12-06,2024-12-06 00:00:00,cardano,ADA,1.166279100460039,3576835053.2920136,41761272812.61363,cryptocurrency
2024-12-07,2024-12-07 00:00:00,cardano,ADA,1.2330018039218942,2349556943.0838575,44189030694.178734,cryptocurrency
2024-12-08,2024-12-08 00:00:00,cardano,ADA,1.2144434934843331,1576905611.3322842,43485669123.33586,cryptocurrency
2024-12-09,2024-12-09 00:00:00,cardano,ADA,1.197963535910322,1847543253.3471847,42885476562.37067,cryptocurrency
2024-12-10,2024-12-10 00:00:00,cardano,ADA,1.0077086490874125,3803654545.310235,35975470613.31738,cryptocurrency
2024-12-11,2024-12-11 00:00:00,cardano,ADA,1.0166147999655448,3773323186.6575675,36406284690.12914,cryptocurrency
2024-12-12,2024-12-12 00:00:00,cardano,ADA,1.08793220795952,2481141444.010295,38964602897.82832,cryptocurrency
