date,security,price,volume
2018-01-01,XBTUSD Curncy,13624.57,
2018-01-02,XBTUSD Curncy,14784.6,
2018-01-03,XBTUSD Curncy,15055.23,
2018-01-04,XBTUSD Curncy,14946.35,
2018-01-05,XBTUSD Curncy,16753.24,
2018-01-08,XBTUSD Curncy,14935.7,
2018-01-09,XBTUSD Curncy,14554.08,
2018-01-10,XBTUSD Curncy,14494.74,
2018-01-11,XBTUSD Curncy,13462.98,
2018-01-12,XBTUSD Curncy,13746.58,
2018-01-15,XBTUSD Curncy,13916.82,
2018-01-16,XBTUSD Curncy,10720.0,
2018-01-17,XBTUSD Curncy,11376.69,
2018-01-18,XBTUSD Curncy,11605.5,
2018-01-19,XBTUSD Curncy,11366.61,
2018-01-22,XBTUSD Curncy,10354.0,
2018-01-23,XBTUSD Curncy,10981.05,
2018-01-24,XBTUSD Curncy,11213.37,
2018-01-25,XBTUSD Curncy,11256.52,
2018-01-26,XBTUSD Curncy,10874.79,
2018-01-29,XBTUSD Curncy,11207.0,
2018-01-30,XBTUSD Curncy,10086.8,
2018-01-31,XBTUSD Curncy,9962.31,
2018-02-01,XBTUSD Curncy,9094.2,
2018-02-02,XBTUSD Curncy,8570.0,
2018-02-05,XBTUSD Curncy,7100.87,
2018-02-06,XBTUSD Curncy,7764.6,
2018-02-07,XBTUSD Curncy,8087.51,
2018-02-08,XBTUSD Curncy,8171.19,
2018-02-09,XBTUSD Curncy,8552.65,
2018-02-12,XBTUSD Curncy,8831.25,
2018-02-13,XBTUSD Curncy,8557.91,
2018-02-14,XBTUSD Curncy,9287.96,
2018-02-15,XBTUSD Curncy,9873.45,
2018-02-16,XBTUSD Curncy,10088.2,
2018-02-19,XBTUSD Curncy,11081.41,
2018-02-20,XBTUSD Curncy,11705.73,
2018-02-21,XBTUSD Curncy,10286.84,
2018-02-22,XBTUSD Curncy,9915.69,
2018-02-23,XBTUSD Curncy,9920.01,
2018-02-26,XBTUSD Curncy,10380.3,
2018-02-27,XBTUSD Curncy,10755.9,
2018-02-28,XBTUSD Curncy,10538.02,
2018-03-01,XBTUSD Curncy,10933.75,
2018-03-02,XBTUSD Curncy,11029.95,
2018-03-05,XBTUSD Curncy,11555.99,
2018-03-06,XBTUSD Curncy,10790.35,
2018-03-07,XBTUSD Curncy,9939.53,
2018-03-08,XBTUSD Curncy,9330.23,
2018-03-09,XBTUSD Curncy,9004.84,
2018-03-12,XBTUSD Curncy,9017.65,
2018-03-13,XBTUSD Curncy,9062.92,
2018-03-14,XBTUSD Curncy,8304.32,
2018-03-15,XBTUSD Curncy,8251.71,
2018-03-16,XBTUSD Curncy,8524.17,
2018-03-19,XBTUSD Curncy,8427.2,
2018-03-20,XBTUSD Curncy,8920.33,
2018-03-21,XBTUSD Curncy,8895.59,
2018-03-22,XBTUSD Curncy,8598.85,
2018-03-23,XBTUSD Curncy,8616.25,
2018-03-26,XBTUSD Curncy,7888.84,
2018-03-27,XBTUSD Curncy,7990.87,
2018-03-28,XBTUSD Curncy,7906.96,
2018-03-29,XBTUSD Curncy,7098.14,
2018-03-30,XBTUSD Curncy,6852.51,
2018-04-02,XBTUSD Curncy,6937.38,
2018-04-03,XBTUSD Curncy,7401.4,
2018-04-04,XBTUSD Curncy,6830.76,
2018-04-05,XBTUSD Curncy,6749.55,
2018-04-06,XBTUSD Curncy,6604.48,
2018-04-09,XBTUSD Curncy,6662.14,
2018-04-10,XBTUSD Curncy,6839.62,
2018-04-11,XBTUSD Curncy,6891.03,
2018-04-12,XBTUSD Curncy,7730.47,
2018-04-13,XBTUSD Curncy,7903.91,
2018-04-16,XBTUSD Curncy,7986.06,
2018-04-17,XBTUSD Curncy,7914.7,
2018-04-18,XBTUSD Curncy,8187.53,
2018-04-19,XBTUSD Curncy,8233.85,
2018-04-20,XBTUSD Curncy,8524.52,
2018-04-23,XBTUSD Curncy,8932.25,
2018-04-24,XBTUSD Curncy,9449.88,
2018-04-25,XBTUSD Curncy,9073.19,
2018-04-26,XBTUSD Curncy,9118.96,
2018-04-27,XBTUSD Curncy,8977.07,
2018-04-30,XBTUSD Curncy,9272.7,
2018-05-01,XBTUSD Curncy,9015.73,
2018-05-02,XBTUSD Curncy,9175.76,
2018-05-03,XBTUSD Curncy,9652.04,
2018-05-04,XBTUSD Curncy,9683.54,
2018-05-07,XBTUSD Curncy,9437.62,
2018-05-08,XBTUSD Curncy,9160.97,
2018-05-09,XBTUSD Curncy,9248.19,
2018-05-10,XBTUSD Curncy,9092.67,
2018-05-11,XBTUSD Curncy,8432.01,
2018-05-14,XBTUSD Curncy,8811.66,
2018-05-15,XBTUSD Curncy,8518.76,
2018-05-16,XBTUSD Curncy,8291.23,
2018-05-17,XBTUSD Curncy,8204.05,
2018-05-18,XBTUSD Curncy,8229.58,
2018-05-21,XBTUSD Curncy,8406.89,
2018-05-22,XBTUSD Curncy,8108.52,
2018-05-23,XBTUSD Curncy,7590.0,
2018-05-24,XBTUSD Curncy,7552.45,
2018-05-25,XBTUSD Curncy,7448.08,
2018-05-28,XBTUSD Curncy,7214.8,
2018-05-29,XBTUSD Curncy,7501.54,
2018-05-30,XBTUSD Curncy,7337.26,
2018-05-31,XBTUSD Curncy,7538.28,
2018-06-01,XBTUSD Curncy,7437.74,
2018-06-04,XBTUSD Curncy,7525.77,
2018-06-05,XBTUSD Curncy,7629.53,
2018-06-06,XBTUSD Curncy,7619.32,
2018-06-07,XBTUSD Curncy,7660.06,
2018-06-08,XBTUSD Curncy,7646.28,
2018-06-11,XBTUSD Curncy,6760.89,
2018-06-12,XBTUSD Curncy,6531.39,
2018-06-13,XBTUSD Curncy,6260.96,
2018-06-14,XBTUSD Curncy,6658.78,
2018-06-15,XBTUSD Curncy,6497.97,
2018-06-18,XBTUSD Curncy,6727.55,
2018-06-19,XBTUSD Curncy,6695.44,
2018-06-20,XBTUSD Curncy,6748.89,
2018-06-21,XBTUSD Curncy,6719.47,
2018-06-22,XBTUSD Curncy,6070.19,
2018-06-25,XBTUSD Curncy,6250.81,
2018-06-26,XBTUSD Curncy,6181.64,
2018-06-27,XBTUSD Curncy,6124.96,
2018-06-28,XBTUSD Curncy,6044.92,
2018-06-29,XBTUSD Curncy,5899.64,
2018-07-02,XBTUSD Curncy,6620.01,
2018-07-03,XBTUSD Curncy,6613.86,
2018-07-04,XBTUSD Curncy,6686.23,
2018-07-05,XBTUSD Curncy,6507.68,
2018-07-06,XBTUSD Curncy,6570.76,
2018-07-09,XBTUSD Curncy,6695.86,
2018-07-10,XBTUSD Curncy,6387.83,
2018-07-11,XBTUSD Curncy,6354.19,
2018-07-12,XBTUSD Curncy,6172.95,
2018-07-13,XBTUSD Curncy,6185.23,
2018-07-16,XBTUSD Curncy,6661.85,
2018-07-17,XBTUSD Curncy,7314.0,
2018-07-18,XBTUSD Curncy,7336.6,
2018-07-19,XBTUSD Curncy,7418.83,
2018-07-20,XBTUSD Curncy,7351.07,
2018-07-23,XBTUSD Curncy,7702.88,
2018-07-24,XBTUSD Curncy,8227.05,
2018-07-25,XBTUSD Curncy,8176.35,
2018-07-26,XBTUSD Curncy,8138.47,
2018-07-27,XBTUSD Curncy,8225.12,
2018-07-30,XBTUSD Curncy,8146.16,
2018-07-31,XBTUSD Curncy,7689.43,
2018-08-01,XBTUSD Curncy,7482.23,
2018-08-02,XBTUSD Curncy,7546.53,
2018-08-03,XBTUSD Curncy,7388.58,
2018-08-06,XBTUSD Curncy,6919.84,
2018-08-07,XBTUSD Curncy,6877.76,
2018-08-08,XBTUSD Curncy,6316.9,
2018-08-09,XBTUSD Curncy,6507.67,
2018-08-10,XBTUSD Curncy,6191.24,
2018-08-13,XBTUSD Curncy,6277.69,
2018-08-14,XBTUSD Curncy,6074.26,
2018-08-15,XBTUSD Curncy,6374.87,
2018-08-16,XBTUSD Curncy,6255.1,
2018-08-17,XBTUSD Curncy,6480.85,
2018-08-20,XBTUSD Curncy,6455.22,
2018-08-21,XBTUSD Curncy,6451.86,
2018-08-22,XBTUSD Curncy,6331.13,
2018-08-23,XBTUSD Curncy,6418.67,
2018-08-24,XBTUSD Curncy,6611.44,
2018-08-27,XBTUSD Curncy,6719.04,
2018-08-28,XBTUSD Curncy,7083.46,
2018-08-29,XBTUSD Curncy,7042.05,
2018-08-30,XBTUSD Curncy,6916.68,
2018-08-31,XBTUSD Curncy,7044.6,
2018-09-03,XBTUSD Curncy,7298.59,
2018-09-04,XBTUSD Curncy,7361.57,
2018-09-05,XBTUSD Curncy,6949.01,
2018-09-06,XBTUSD Curncy,6440.22,
2018-09-07,XBTUSD Curncy,6446.93,
2018-09-10,XBTUSD Curncy,6301.63,
2018-09-11,XBTUSD Curncy,6253.25,
2018-09-12,XBTUSD Curncy,6305.47,
2018-09-13,XBTUSD Curncy,6467.47,
2018-09-14,XBTUSD Curncy,6535.01,
2018-09-17,XBTUSD Curncy,6216.01,
2018-09-18,XBTUSD Curncy,6317.7,
2018-09-19,XBTUSD Curncy,6423.81,
2018-09-20,XBTUSD Curncy,6377.21,
2018-09-21,XBTUSD Curncy,6708.69,
2018-09-24,XBTUSD Curncy,6626.29,
2018-09-25,XBTUSD Curncy,6386.6,
2018-09-26,XBTUSD Curncy,6497.72,
2018-09-27,XBTUSD Curncy,6694.08,
2018-09-28,XBTUSD Curncy,6643.42,
2018-10-01,XBTUSD Curncy,6550.06,
2018-10-02,XBTUSD Curncy,6524.3,
2018-10-03,XBTUSD Curncy,6438.41,
2018-10-04,XBTUSD Curncy,6546.01,
2018-10-05,XBTUSD Curncy,6539.04,
2018-10-08,XBTUSD Curncy,6623.01,
2018-10-09,XBTUSD Curncy,6579.83,
2018-10-10,XBTUSD Curncy,6534.38,
2018-10-11,XBTUSD Curncy,6204.33,
2018-10-12,XBTUSD Curncy,6214.23,
