id,used_url,status,final_url,error
philippon2019fintech,https://doi.org/10.1093/rfs/hhz017,,,HTTP Error 403: Forbidden
vives2019banking,https://doi.org/10.1146/annurev-financial-100719-120854,,,HTTP Error 403: Forbidden
suri2016mobile,https://doi.org/10.1126/science.aah5309,,,HTTP Error 403: Forbidden
mollick2014crowdfunding,https://doi.org/10.1016/j.jbusvent.2013.06.005,200,https://linkinghub.elsevier.com/retrieve/pii/S088390261300058X,
bohme2015bitcoin,https://doi.org/Journal of Economic Perspectives,,,URL can't contain control characters. '/Journal of Economic Perspectives' (found at least ' ')
howell2020ico,https://doi.org/10.1016/j.jfineco.2019.06.004,200,https://linkinghub.elsevier.com/retrieve/pii/S0304405X19301618,
gu2020ml,https://doi.org/10.1093/rfs/hhaa009,,,HTTP Error 403: Forbidden
tetlock2007sentiment,https://doi.org/10.1111/j.1540-6261.2007.01232.x,,,HTTP Error 403: Forbidden
chen2021deeplearning,https://doi.org/10.1093/rfs/hhab069,,,HTTP Error 403: Forbidden
ausubel1991credit,https://doi.org/10.1257/aer.81.1.50,,,HTTP Error 404: Not Found
rysman2009twosided,https://doi.org/10.1257/jep.23.3.125,,,HTTP Error 403: Forbidden
catalini2020blockchain,https://doi.org/10.1145/3359552,,,HTTP Error 403: Forbidden
buchak2018shadow,https://doi.org/Journal of Financial Economics,,,URL can't contain control characters. '/Journal of Financial Economics' (found at least ' ')
hilpisch2019python,https://www.oreilly.com/library/view/python-for-finance/9781492024330/,,,HTTP Error 404: Not Found
liaw2021handbook,https://www.routledge.com/The-Routledge-Handbook-of-FinTech/Liaw/p/book/9780367339152,,,HTTP Error 404: Not Found
gabaix2025assetembeddings,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4507511,,,
