date,timestamp,coin_id,symbol,price,volume,market_cap,asset_class
2024-11-10,2024-11-10 00:00:00,bitcoin,BTC,76630.22631415377,31430906055.796104,1519470275068.1016,cryptocurrency
2024-11-11,2024-11-11 00:00:00,bitcoin,BTC,80466.71654833542,93473126207.67865,1590846468754.067,cryptocurrency
2024-11-12,2024-11-12 00:00:00,bitcoin,BTC,88637.42000322911,133959805308.72511,1756619702929.0437,cryptocurrency
2024-11-13,2024-11-13 00:00:00,bitcoin,BTC,88264.59974582895,152356811694.44943,1741113172482.1243,cryptocurrency
2024-11-14,2024-11-14 00:00:00,bitcoin,BTC,90488.10007497849,136046309843.60645,1790737763695.3328,cryptocurrency
2024-11-15,2024-11-15 00:00:00,bitcoin,BTC,87407.51273710128,99649391847.08359,1726797438787.217,cryptocurrency
2024-11-16,2024-11-16 00:00:00,bitcoin,BTC,90947.97509443703,84382485697.84985,1799276211921.9302,cryptocurrency
2024-11-17,2024-11-17 00:00:00,bitcoin,BTC,90606.45489380708,49255174407.368774,1790415769635.4927,cryptocurrency
2024-11-18,2024-11-18 00:00:00,bitcoin,BTC,89841.47194135105,48556083101.64749,1776887033229.9082,cryptocurrency
2024-11-19,2024-11-19 00:00:00,bitcoin,BTC,90534.62459650292,77391724184.19348,1790917617392.4407,cryptocurrency
2024-11-20,2024-11-20 00:00:00,bitcoin,BTC,92251.65240738312,80493234958.49161,1825195454018.501,cryptocurrency
2024-11-21,2024-11-21 00:00:00,bitcoin,BTC,94217.02229634205,80747272080.24826,1862618759426.145,cryptocurrency
2024-11-22,2024-11-22 00:00:00,bitcoin,BTC,98509.11859102432,118163852022.3175,1948284556982.0486,cryptocurrency
2024-11-23,2024-11-23 00:00:00,bitcoin,BTC,98927.49494553401,85746174563.98602,1958091000957.8345,cryptocurrency
2024-11-24,2024-11-24 00:00:00,bitcoin,BTC,97679.46381643033,47414200206.70341,1931255637661.502,cryptocurrency
2024-11-25,2024-11-25 00:00:00,bitcoin,BTC,98015.9355289458,50665680246.86775,1939446484727.4285,cryptocurrency
2024-11-26,2024-11-26 00:00:00,bitcoin,BTC,93004.70093103287,89476321216.0935,1838788677873.8657,cryptocurrency
2024-11-27,2024-11-27 00:00:00,bitcoin,BTC,91931.83077291827,97389239315.52954,1819990514406.0881,cryptocurrency
2024-11-28,2024-11-28 00:00:00,bitcoin,BTC,95981.18057210564,81469353259.75,1899088665519.225,cryptocurrency
2024-11-29,2024-11-29 00:00:00,bitcoin,BTC,95661.59595817851,49067932024.40325,1892297852304.72,cryptocurrency
2024-11-30,2024-11-30 00:00:00,bitcoin,BTC,97453.2473451042,74670031635.5065,1926826079390.2441,cryptocurrency
2024-12-01,2024-12-01 00:00:00,bitcoin,BTC,96513.14234698225,43580019720.720634,1910022814269.8855,cryptocurrency
2024-12-02,2024-12-02 00:00:00,bitcoin,BTC,97311.70719084324,49147687432.565895,1925808416477.5068,cryptocurrency
2024-12-03,2024-12-03 00:00:00,bitcoin,BTC,95833.1362300365,101019861361.49252,1896576914275.523,cryptocurrency
2024-12-04,2024-12-04 00:00:00,bitcoin,BTC,96031.63097759831,87935752287.975,1900922167493.3643,cryptocurrency
2024-12-05,2024-12-05 00:00:00,bitcoin,BTC,98881.4694561823,98230784298.0459,1957276192604.2603,cryptocurrency
2024-12-06,2024-12-06 00:00:00,bitcoin,BTC,97201.50036407741,190460293531.53802,1920742551503.6094,cryptocurrency
2024-12-07,2024-12-07 00:00:00,bitcoin,BTC,99973.85150659826,115812632020.44765,1978389972043.7947,cryptocurrency
2024-12-08,2024-12-08 00:00:00,bitcoin,BTC,99781.82999198174,61061136199.7846,1974739091620.7542,cryptocurrency
2024-12-09,2024-12-09 00:00:00,bitcoin,BTC,101235.3717025316,62677764785.05408,2003238967638.8286,cryptocurrency
2024-12-10,2024-12-10 00:00:00,bitcoin,BTC,97353.94700820887,146846843211.51685,1926047690157.6282,cryptocurrency
2024-12-11,2024-12-11 00:00:00,bitcoin,BTC,96649.71446771531,125835977742.51114,1913115778728.2837,cryptocurrency
2024-12-12,2024-12-12 00:00:00,bitcoin,BTC,101123.61811033697,118484957960.76833,2001746436338.842,cryptocurrency
2024-12-13,2024-12-13 00:00:00,bitcoin,BTC,100000.80836535197,100092043319.81221,1979166149963.3093,cryptocurrency
2024-12-14,2024-12-14 00:00:00,bitcoin,BTC,101352.22971292294,78802903278.85962,2005406021235.8357,cryptocurrency
2024-12-15,2024-12-15 00:00:00,bitcoin,BTC,101367.01064553364,57321924844.41535,2007646386698.8667,cryptocurrency
2024-12-16,2024-12-16 00:00:00,bitcoin,BTC,104721.50151808978,70645074624.52869,2075487816560.1924,cryptocurrency
2024-12-17,2024-12-17 00:00:00,bitcoin,BTC,106074.10723541168,115184737759.33566,2097460193710.789,cryptocurrency
2024-12-18,2024-12-18 00:00:00,bitcoin,BTC,106034.913402645,93417826250.1972,2100629850064.9119,cryptocurrency
2024-12-19,2024-12-19 00:00:00,bitcoin,BTC,100355.5761481501,113692025885.44745,1985284833093.572,cryptocurrency
2024-12-20,2024-12-20 00:00:00,bitcoin,BTC,97851.35377075805,100611554887.24123,1937022229972.2085,cryptocurrency
2024-12-21,2024-12-21 00:00:00,bitcoin,BTC,97691.43431692653,112340864006.62827,1932373308116.0107,cryptocurrency
2024-12-22,2024-12-22 00:00:00,bitcoin,BTC,97202.82496847633,53058382639.48845,1922768195068.165,cryptocurrency
2024-12-23,2024-12-23 00:00:00,bitcoin,BTC,95094.27394862173,44619017105.36954,1884599149192.4587,cryptocurrency
2024-12-24,2024-12-24 00:00:00,bitcoin,BTC,94644.91085464321,64937790292.61125,1874912975786.6604,cryptocurrency
2024-12-25,2024-12-25 00:00:00,bitcoin,BTC,98695.71400782601,49169088282.15742,1951173788529.116,cryptocurrency
2024-12-26,2024-12-26 00:00:00,bitcoin,BTC,99344.95417367229,33963749856.44743,1966481159354.1177,cryptocurrency
2024-12-27,2024-12-27 00:00:00,bitcoin,BTC,95678.31244565405,45049342388.18843,1894744251986.1084,cryptocurrency
2024-12-28,2024-12-28 00:00:00,bitcoin,BTC,94331.94727053077,41498540807.666954,1867708753554.924,cryptocurrency
2024-12-29,2024-12-29 00:00:00,bitcoin,BTC,95184.61945288602,22429850903.940086,1885556552231.4314,cryptocurrency
2024-12-30,2024-12-30 00:00:00,bitcoin,BTC,93663.44751964067,24065314499.502274,1854872605738.8086,cryptocurrency
2024-12-31,2024-12-31 00:00:00,bitcoin,BTC,92627.28213113277,57595164139.4709,1833188187477.531,cryptocurrency
2025-01-01,2025-01-01 00:00:00,bitcoin,BTC,93507.85874741491,45327464907.74362,1851839954625.13,cryptocurrency
2025-01-02,2025-01-02 00:00:00,bitcoin,BTC,94384.1761153871,23275007789.496334,1869193319140.2422,cryptocurrency
2025-01-03,2025-01-03 00:00:00,bitcoin,BTC,96852.14681235075,45157338602.617516,1917905016063.62,cryptocurrency
2025-01-04,2025-01-04 00:00:00,bitcoin,BTC,98084.34279280754,35721645948.10051,1942834829349.9563,cryptocurrency
2025-01-05,2025-01-05 00:00:00,bitcoin,BTC,98256.73876849933,20979035420.980793,1946611205641.351,cryptocurrency
2025-01-06,2025-01-06 00:00:00,bitcoin,BTC,98364.58946599838,20060293834.7155,1948339898718.8586,cryptocurrency
2025-01-07,2025-01-07 00:00:00,bitcoin,BTC,102229.39453189743,46111387334.46171,2024825178619.8228,cryptocurrency
2025-01-08,2025-01-08 00:00:00,bitcoin,BTC,96952.09886774956,60610257147.15405,1919133187081.3127,cryptocurrency
2025-01-09,2025-01-09 00:00:00,bitcoin,BTC,95016.71440989176,65790469838.34392,1885313354913.7239,cryptocurrency
2025-01-10,2025-01-10 00:00:00,bitcoin,BTC,92376.27578346101,65850881574.76184,1832933628117.9436,cryptocurrency
2025-01-11,2025-01-11 00:00:00,bitcoin,BTC,94736.6267420969,63433655716.757095,1876836759923.398,cryptocurrency
2025-01-12,2025-01-12 00:00:00,bitcoin,BTC,94559.55167224213,17836423168.41627,1874286243377.8525,cryptocurrency
2025-01-13,2025-01-13 00:00:00,bitcoin,BTC,94454.77089638807,19608932595.53299,1870314882306.9236,cryptocurrency
2025-01-14,2025-01-14 00:00:00,bitcoin,BTC,94456.3493746993,76328330233.31137,1870609367804.8223,cryptocurrency
2025-01-15,2025-01-15 00:00:00,bitcoin,BTC,96574.07768799194,51241728228.81719,1912603332624.1123,cryptocurrency
2025-01-16,2025-01-16 00:00:00,bitcoin,BTC,100313.15239828422,57637319739.543396,1986831430651.8647,cryptocurrency
2025-01-17,2025-01-17 00:00:00,bitcoin,BTC,100044.57926776377,50150102497.2729,1980935754458.284,cryptocurrency
2025-01-18,2025-01-18 00:00:00,bitcoin,BTC,104160.69358484233,69135117732.00064,2063854663834.0774,cryptocurrency
2025-01-19,2025-01-19 00:00:00,bitcoin,BTC,104334.61575724394,49416447749.13053,2067151195362.0425,cryptocurrency
2025-01-20,2025-01-20 00:00:00,bitcoin,BTC,101275.33714814208,72970313683.92325,2014842808849.5005,cryptocurrency
2025-01-21,2025-01-21 00:00:00,bitcoin,BTC,101764.90860170545,120158523166.88387,2017837068202.1384,cryptocurrency
2025-01-22,2025-01-22 00:00:00,bitcoin,BTC,106182.2368201815,95344290057.8965,2098829000928.49,cryptocurrency
2025-01-23,2025-01-23 00:00:00,bitcoin,BTC,103673.53509537787,55030669602.56557,2054288661793.9773,cryptocurrency
2025-01-24,2025-01-24 00:00:00,bitcoin,BTC,104067.60991206947,102455227371.20761,2062360759045.0,cryptocurrency
