,Open,High,Low,Close,Volume
2022-01-03,89.58297393414794,89.62530920446241,88.34251890241242,89.03236929935532,138683242
2022-01-04,85.97138803390315,86.95408546903406,85.2892668230562,86.55056995858831,81457570
2022-01-05,84.49635244530194,85.06588309205502,84.01644844379348,84.0857502560983,122710651
2022-01-06,85.09174824138326,85.14923446462359,83.79440852715383,84.39415487938922,101272289
2022-01-07,83.77879042932736,84.89636067567984,83.5406036852839,83.8679177145422,85275408
2022-01-10,84.59065342584452,84.86448769471421,84.01887502829398,84.21811680308727,71011264
2022-01-11,77.94989864215674,79.389312011654,77.79077362867342,79.36661844603071,96512383
2022-01-12,78.57984453771218,79.71274124724086,77.87912664906369,78.9879471942966,83150285
2022-01-13,80.59631173157503,80.90206818030133,79.14721200655711,80.31880926728425,68881631
2022-01-14,80.39411126938361,80.6496560752538,79.18480964638427,79.83937000141839,57210511
2022-01-17,81.01067197446878,81.36821924416421,80.14939044686662,80.96535587215493,90064152
2022-01-18,82.58360656249529,83.13295790920988,81.9914967433544,82.79921028481395,117843064
2022-01-19,81.90029744993568,82.64383810674778,81.30599866704502,81.65051118741555,95538397
2022-01-20,82.4763802161354,83.05166625540791,81.96348132135866,82.39153234187249,108714022
2022-01-21,85.29583323546441,85.65808307234913,85.07326579500823,85.59864310793984,84356190
2022-01-24,82.71651323580338,83.80389429993566,81.59077320436874,83.57231054098213,69012011
2022-01-25,82.37952763638607,82.71609719073795,82.2083102107631,82.60965034358927,109815677
2022-01-26,84.35892863329566,84.74246799972369,83.81310701897003,84.17030554417616,81594125
2022-01-27,84.66731827453059,85.6506216881581,84.47361529998143,84.74639157110404,88870375
2022-01-28,85.25485675106879,85.83452713728212,84.25285949005408,84.48513774904077,109196711
2022-01-31,82.89949065745053,83.28526708809612,81.77824910561463,82.48447883155438,109767494
2022-02-01,79.7483660047677,80.95899400737785,79.47129926290846,80.34140694358925,90272712
2022-02-02,82.40802993185041,83.21631460486475,81.5140771175529,82.76815341080214,113944984
2022-02-03,79.54286078327922,81.18571892110103,79.29409068732004,80.4964317162911,102871359
2022-02-04,80.32360317109347,81.51310152606945,79.51452337951605,80.65069401538778,103507429
2022-02-07,80.1654682399599,81.25506073393554,80.07277984859572,81.07925199281499,131312903
2022-02-08,85.7339029816721,85.96800461732502,85.23076809689546,85.29980125813289,104480328
2022-02-09,86.76905696502847,87.24372092099931,85.95758931954019,86.84939083213423,151656031
2022-02-10,87.70779762543165,88.44660311839576,85.33400855889609,86.77936534927903,58443510
2022-02-11,87.8012420013697,89.56500648449818,87.78961846645552,88.5967916670829,66675175
2022-02-14,85.90055845580802,86.98219969354905,84.15821436353517,86.48044833111904,75783758
2022-02-15,87.18655290508427,87.69684622306585,87.05311837761538,87.25150270314323,63579016
2022-02-16,85.57735259373467,86.34050334057532,85.27030592612154,85.98875948149391,150792631
2022-02-17,83.10549559518618,83.5487799831128,82.38893514135579,83.48239744252108,141142831
2022-02-18,80.00772880738326,80.82341161441003,79.66443257560348,80.37259341828586,109422155
2022-02-21,79.69406142207212,80.61682915525414,79.11406313372713,79.55409540548045,97498392
2022-02-22,81.72051089343935,82.20917814549654,81.10612655936244,81.78440939933058,64254814
2022-02-23,87.67361747393127,87.99904495836337,87.03671805166596,87.85285743707047,100931326
2022-02-24,84.03874752396305,85.20736654436298,83.71718583036031,84.8234447414296,91339915
2022-02-25,83.47717024177794,84.0311529074984,83.412107003744,83.83880515220912,113246112
2022-02-28,81.39076335306528,82.73260747820586,81.07461557422835,82.14236209961521,76699246
2022-03-01,80.51255704281236,80.97516874842401,79.64030977973393,80.38865919304666,104066382
2022-03-02,82.34213837821598,82.43541303186797,81.34057535392037,81.74093806323816,118700516
2022-03-03,80.74949446872233,81.25260401323926,79.83721153933743,80.97530191654084,115346094
2022-03-04,74.71983067999655,76.00015714271878,74.37862524232175,75.92675455838969,91734963
2022-03-07,75.73419900833028,76.59171826816117,75.47173266335395,76.13502726285692,131871333
2022-03-08,73.72867438941074,74.16845357184862,73.55426071400933,74.03146215757846,67439081
2022-03-09,72.5022529881698,73.00547826063533,71.75360636008956,72.23206872647623,95172717
2022-03-10,73.31306687305016,73.9000110966877,72.57253001977591,73.57815008070874,104101169
2022-03-11,73.41903920460695,73.87006332251623,72.61894003120008,72.72041968878763,87506535
2022-03-14,72.89497254323327,74.62755881001694,72.86959740175828,73.97031356191589,110017194
2022-03-15,73.19435218543298,74.06472879991847,73.01029759281454,73.88513494592172,119428640
2022-03-16,71.85076997461853,72.00583381384115,71.10601818975493,71.46805927350042,51179705
2022-03-17,71.77162777300558,71.83813611528959,71.47009815190589,71.67051327409965,139303356
2022-03-18,73.26736716058925,73.62616085682856,72.82700792542174,72.89183230629394,74950782
2022-03-21,73.75799993972834,74.4498182067802,72.97162673565609,73.75013337144053,124678141
2022-03-22,75.53282008259733,75.67156694502238,75.02712467055188,75.10613289871384,71743446
2022-03-23,74.76071582934817,75.69367314176809,74.13809876420726,74.3856778899815,101650796
2022-03-24,74.6677678801265,75.08152531393355,74.47286520191831,74.87679042973846,102527054
2022-03-25,75.18120481072833,75.89173793220857,75.01742845541231,75.23349863959635,83673745
