date,timestamp,coin_id,symbol,price,volume,market_cap,asset_class
2024-11-10,2024-11-10 00:00:00,binancecoin,BNB,623.0345147169824,2289560529.6535926,91086187582.46587,cryptocurrency
2024-11-11,2024-11-11 00:00:00,binancecoin,BNB,628.4982208915301,2637125258.8770103,91619975451.01256,cryptocurrency
2024-11-12,2024-11-12 00:00:00,binancecoin,BNB,655.001920202732,1582512409.9785407,95953859311.81076,cryptocurrency
2024-11-13,2024-11-13 00:00:00,binancecoin,BNB,629.1405449090754,3680447411.470419,91663556242.07321,cryptocurrency
2024-11-14,2024-11-14 00:00:00,binancecoin,BNB,620.6711241408003,3088847318.0117497,90601254693.01842,cryptocurrency
2024-11-15,2024-11-15 00:00:00,binancecoin,BNB,620.7149581494238,3102474990.626613,90438980537.17252,cryptocurrency
2024-11-16,2024-11-16 00:00:00,binancecoin,BNB,618.5720978479429,2050272135.7677736,90211289977.11554,cryptocurrency
2024-11-17,2024-11-17 00:00:00,binancecoin,BNB,622.5200094288792,1452900658.074677,90600287238.66862,cryptocurrency
2024-11-18,2024-11-18 00:00:00,binancecoin,BNB,617.8473040647104,1828130470.576308,90046308523.15709,cryptocurrency
2024-11-19,2024-11-19 00:00:00,binancecoin,BNB,619.6636009849202,1651371565.818097,90317334784.22472,cryptocurrency
2024-11-20,2024-11-20 00:00:00,binancecoin,BNB,615.9180341474424,1388983815.5660732,89864910340.94922,cryptocurrency
2024-11-21,2024-11-21 00:00:00,binancecoin,BNB,607.2954246379498,1559086629.2346592,88607714965.0514,cryptocurrency
2024-11-22,2024-11-22 00:00:00,binancecoin,BNB,623.5047261063257,2343280028.8742757,90962065583.55013,cryptocurrency
2024-11-23,2024-11-23 00:00:00,binancecoin,BNB,633.0202588832259,1846338179.2677584,92349194787.00644,cryptocurrency
2024-11-24,2024-11-24 00:00:00,binancecoin,BNB,651.5324156029599,3373812879.967069,95008979222.82204,cryptocurrency
2024-11-25,2024-11-25 00:00:00,binancecoin,BNB,661.6867306484445,2917371682.838013,96535188283.16571,cryptocurrency
2024-11-26,2024-11-26 00:00:00,binancecoin,BNB,635.2624284539559,2394918621.268695,92608753001.29962,cryptocurrency
2024-11-27,2024-11-27 00:00:00,binancecoin,BNB,613.7254260217858,2494275590.5107102,89577669155.71219,cryptocurrency
2024-11-28,2024-11-28 00:00:00,binancecoin,BNB,645.1514917318507,1940704254.0273583,94131145638.41046,cryptocurrency
2024-11-29,2024-11-29 00:00:00,binancecoin,BNB,654.5913158519834,2381977222.083153,95461592953.30748,cryptocurrency
2024-11-30,2024-11-30 00:00:00,binancecoin,BNB,654.771684845135,1553941107.9797518,95500304653.15181,cryptocurrency
2024-12-01,2024-12-01 00:00:00,binancecoin,BNB,655.0341088639733,1682644261.813791,95585516151.45093,cryptocurrency
2024-12-02,2024-12-02 00:00:00,binancecoin,BNB,655.7348886381908,1465006765.1405237,95646063853.98654,cryptocurrency
2024-12-03,2024-12-03 00:00:00,binancecoin,BNB,647.1199397363577,2373999130.8716054,94366844096.0861,cryptocurrency
2024-12-04,2024-12-04 00:00:00,binancecoin,BNB,740.0349367441655,4567002669.157179,108108300474.17479,cryptocurrency
