,Open,High,Low,Close,Volume
2022-01-03,175.121207468784,175.79535716267677,173.65247452829308,174.280232243482,41624665
2022-01-04,179.46143571969026,180.5139617589702,178.85152046810015,179.61942689793858,87329704
2022-01-05,177.67091661831876,180.40588197069542,177.36022929274918,178.25007779498299,33259285
2022-01-06,181.37602850691377,182.86377597488084,181.3368647390881,181.42068699437544,63539523
2022-01-07,190.71316855493134,190.90665710564014,187.06917794924033,188.91225464751486,62241897
2022-01-10,196.70791325267888,199.0240808186828,195.40060598985664,196.83066380223644,95846120
2022-01-11,199.9820499510358,200.94772143930425,197.643677177552,199.6066135027069,78442589
2022-01-12,202.76530366484533,204.52326692330755,200.86606974049778,202.64508153603433,78223931
2022-01-13,213.1632742733355,213.8900110587406,212.13028766238722,213.03081357740865,53551836
2022-01-14,220.8363312137644,223.0571992392677,218.46711714019597,219.07522661625524,74789740
2022-01-17,211.67547044332557,213.67460305207766,209.75790309593518,210.5190037722902,52892624
2022-01-18,215.39916199548966,219.23570076117133,211.1646159046651,217.350245898964,59215603
2022-01-19,204.64572941044366,206.04904319973534,202.85665747092492,203.90735862488305,72673255
2022-01-20,200.37049111815003,201.26247178606798,195.7413496288841,198.26089799488852,62766523
2022-01-21,198.2819620268747,201.04907626841646,195.6513863610321,198.5870460180671,67267577
2022-01-24,195.974210151025,196.5389637770433,194.6033231487271,194.87491629138734,90714797
2022-01-25,189.99354549632076,194.28450671856095,188.7085493754777,193.52536691193743,54834379
2022-01-26,198.74140914687996,201.39578242332772,197.57456122256622,200.0168148421806,44814299
2022-01-27,200.86703182830388,201.54419137061797,197.49183350835182,197.74143395368,46608296
2022-01-28,194.53158824448653,194.67105404778775,192.99082822146607,193.55654385462773,43661392
2022-01-31,192.21674333082169,193.26674727005943,190.4922591480301,191.9402722831446,99090834
2022-02-01,191.4543045839839,192.89528726153878,188.40322009739134,189.15640415967283,74446400
2022-02-02,192.12237821833335,194.5657142460341,189.90754613977762,193.54120152710095,84349362
2022-02-03,203.3541199079844,204.06759895841074,200.81551664382866,201.66481810083954,79933264
2022-02-04,200.17942461417897,204.5768801084658,199.61100988935388,201.31878784977806,57644006
2022-02-07,209.1792355291365,210.18138200785307,207.69019230432636,209.04865126502264,99760622
2022-02-08,199.37452856057976,203.21045901838608,199.14749564864925,201.53580179158027,49726434
2022-02-09,208.6003854895998,209.30217157737354,206.46609297357242,209.12987279798128,111890265
2022-02-10,211.47883564003422,212.9074136360997,209.214680053749,209.64733200332344,63492440
2022-02-11,208.53579548609187,211.52181889607462,208.008720245337,209.2409179045032,104628301
2022-02-14,211.39413329356123,212.24079650655077,209.18836742693267,210.70842453093243,44659899
2022-02-15,238.82499269715126,241.38195797505458,237.67837966474394,239.59470085841312,53751710
2022-02-16,228.74703350687838,229.60636432270167,226.37676762091212,228.0986946144051,37823842
2022-02-17,237.22338599894988,239.0446298579358,235.52506730995677,236.06298445593046,83636625
2022-02-18,234.27955921632838,235.6613641648635,232.863082806979,235.33275911807357,66007799
2022-02-21,225.3061333467898,227.74706277277917,225.28444852373426,226.6003815771527,112032712
2022-02-22,229.49990910547206,233.32229094480596,228.38951592100165,230.11078559654453,52911047
2022-02-23,230.4302782743344,231.10756167550622,228.97245208493072,231.07697846908667,91371364
2022-02-24,236.6671289990464,240.99954505372324,236.18485589434556,239.8714561702727,62663661
2022-02-25,239.48747965727097,240.15933913978478,238.3662336584959,238.95924625223037,59481802
2022-02-28,240.73032028286605,242.4554187399022,237.94578600161861,240.1254942881006,56091946
2022-03-01,235.43971454012063,240.2396251161111,233.820108088539,238.2650774939205,47477836
2022-03-02,238.55431875525173,238.8846624043944,236.4695953612395,237.24068442078286,68448494
2022-03-03,254.62952527928118,257.7297090397737,253.80282845404733,255.30314271105738,65184694
2022-03-04,252.32293998516093,253.1130580077056,250.5225213617479,251.77742555628856,38168186
2022-03-07,255.1297600275502,257.7608078856697,251.85900164786977,255.54837817568392,28801958
2022-03-08,255.61658722106492,257.2704574414054,254.31801935138805,255.06769540022555,55695993
2022-03-09,263.80933728573984,266.74239652255807,260.9315355878795,263.60548731400456,86695827
2022-03-10,270.18053882253713,272.6585121702575,267.299692378118,268.6241521753234,65393869
2022-03-11,275.27232204721975,279.14498744632056,272.22287895114863,275.26886218253225,41388054
2022-03-14,275.8075065900961,277.1918670441618,273.70347708629276,274.4417894485374,35932903
2022-03-15,281.8613712633372,282.31343751438095,277.7703709380523,279.2355564835529,86508794
2022-03-16,276.92344923316523,279.85810869404315,275.19598459965897,277.0734263178144,37259036
