date,security,field,value
2010-01-29,AAL LN Equity,PX_LAST,2269.854
2010-01-29,ABF LN Equity,PX_LAST,883.0
2010-01-29,ADM LN Equity,PX_LAST,1133.0
2010-01-29,ALW LN Equity,PX_LAST,313.0
2010-01-29,ANTO LN Equity,PX_LAST,879.0
2010-01-29,AV/ LN Equity,PX_LAST,511.184
2010-01-29,AZN LN Equity,PX_LAST,2912.0
2010-01-29,BA/ LN Equity,PX_LAST,353.0
2010-01-29,BAB LN Equity,PX_LAST,495.076
2010-01-29,BARC LN Equity,PX_LAST,249.919
2010-01-29,BATS LN Equity,PX_LAST,2070.5
2010-01-29,BEZ LN Equity,PX_LAST,104.7
2010-01-29,BKG LN Equity,PX_LAST,829.101
2010-01-29,BLND LN Equity,PX_LAST,438.1
2010-01-29,BNZL LN Equity,PX_LAST,624.5
2010-01-29,BP/ LN Equity,PX_LAST,586.9
2010-01-29,BRBY LN Equity,PX_LAST,615.0
2010-01-29,BT/A LN Equity,PX_LAST,137.6
2010-01-29,BTRW LN Equity,PX_LAST,119.7
2010-01-29,CNA LN Equity,PX_LAST,269.9
2010-01-29,CPG LN Equity,PX_LAST,473.272
2010-01-29,CRDA LN Equity,PX_LAST,796.793
2010-01-29,DCC LN Equity,PX_LAST,1703.597
2010-01-29,DGE LN Equity,PX_LAST,1055.0
2010-01-29,DPLM LN Equity,PX_LAST,178.5
2010-01-29,ENT LN Equity,PX_LAST,208.5
2010-01-29,EXPN LN Equity,PX_LAST,598.5
2010-01-29,FCIT LN Equity,PX_LAST,264.9
2010-01-29,FRES LN Equity,PX_LAST,671.5
2010-01-29,GAW LN Equity,PX_LAST,379.5
2010-01-29,GSK LN Equity,PX_LAST,1230.598
2010-01-29,HLMA LN Equity,PX_LAST,233.5
2010-01-29,HSBA LN Equity,PX_LAST,677.3
2010-01-29,HSX LN Equity,PX_LAST,491.788
2010-01-29,HWDN LN Equity,PX_LAST,88.65
2010-01-29,IAG LN Equity,PX_LAST,136.707
2010-01-29,ICG LN Equity,PX_LAST,352.537
2010-01-29,IGG LN Equity,PX_LAST,404.4
2010-01-29,IHG LN Equity,PX_LAST,22.08
2010-01-29,III LN Equity,PX_LAST,265.3
2010-01-29,IMB LN Equity,PX_LAST,2026.0
2010-01-29,IMI LN Equity,PX_LAST,626.286
